"id","temp_c","humid_p","rainfal_mm","lat","lon","create_time"
"140","29.3","79","0","13.9192","100.605","2026-04-05 01:00:00"
"141","29.1","82","0","13.9192","100.605","2026-04-05 04:00:00"
"142","28.9","83","0","13.9192","100.605","2026-04-05 07:00:00"
"143","33.3","33","0","13.9192","100.605","2026-04-05 10:00:00"
"144","36.8","28","0","13.9192","100.605","2026-04-05 13:00:00"
"145","37.4","33","0","13.9192","100.605","2026-04-05 16:00:00"
"146","34","32","0","13.9192","100.605","2026-04-05 19:00:00"
"147","30.3","65","0","13.9192","100.605","2026-04-05 22:00:00"
"148","29.4","77","0","13.9192","100.605","2026-04-06 01:00:00"
"149","29.1","76","0","13.9192","100.605","2026-04-06 04:00:00"
"150","28.6","83","0","13.9192","100.605","2026-04-06 07:00:00"
"151","32.3","45","0","13.9192","100.605","2026-04-06 10:00:00"
"152","37","33","0","13.9192","100.605","2026-04-06 13:00:00"
"153","38.7","28","0","13.9192","100.605","2026-04-06 16:00:00"
"154","33.9","31","0","13.9192","100.605","2026-04-06 19:00:00"
"155","30.9","56","0","13.9192","100.605","2026-04-06 22:00:00"
"156","25.3","84","0","13.9192","100.605","2026-04-07 01:00:00"
"157","28.9","73","0","13.9192","100.605","2026-04-07 04:00:00"
"158","29.4","66","0","13.9192","100.605","2026-04-07 07:00:00"
"159","33","49","0","13.9192","100.605","2026-04-07 10:00:00"
"160","36.1","41","0","13.9192","100.605","2026-04-07 13:00:00"
"161","38","31","0","13.9192","100.605","2026-04-07 16:00:00"
"162","34","52","0","13.9192","100.605","2026-04-07 19:00:00"
"163","31.8","60","0","13.9192","100.605","2026-04-07 22:00:00"
"164","29.5","76","0","13.9192","100.605","2026-04-08 01:00:00"
"165","28.9","81","0","13.9192","100.605","2026-04-08 04:00:00"
"166","29.6","80","0","13.9192","100.605","2026-04-08 07:00:00"
"167","34.5","53","0","13.9192","100.605","2026-04-08 10:00:00"
"168","37.7","36","0","13.9192","100.605","2026-04-08 13:00:00"
"169","36.8","37","0","13.9192","100.605","2026-04-08 16:00:00"
"170","32.2","54","0","13.9192","100.605","2026-04-08 19:00:00"
"171","30.3","63","0","13.9192","100.605","2026-04-08 22:00:00"
"172","28.3","78","0","13.9192","100.605","2026-04-09 01:00:00"
"173","28.5","81","0","13.9192","100.605","2026-04-09 04:00:00"
"174","29","81","0","13.9192","100.605","2026-04-09 07:00:00"
"175","34","57","0","13.9192","100.605","2026-04-09 10:00:00"
"176","36.8","43","0","13.9192","100.605","2026-04-09 13:00:00"
"177","37","33","0","13.9192","100.605","2026-04-09 16:00:00"
"178","32.3","54","0","13.9192","100.605","2026-04-09 19:00:00"
"179","30.1","73","0","13.9192","100.605","2026-04-09 22:00:00"
"180","29.5","77","0","13.9192","100.605","2026-04-10 01:00:00"
"181","28.9","82","0","13.9192","100.605","2026-04-10 04:00:00"
"182","29.3","82","0","13.9192","100.605","2026-04-10 07:00:00"
"183","34.8","52","0","13.9192","100.605","2026-04-10 10:00:00"
"184","36.3","48","0","13.9192","100.605","2026-04-10 13:00:00"
"185","35.7","45","0","13.9192","100.605","2026-04-10 16:00:00"
"186","32.4","57","0","13.9192","100.605","2026-04-10 19:00:00"
"187","29.6","73","0","13.9192","100.605","2026-04-10 22:00:00"
"188","29","78","0","13.9192","100.605","2026-04-11 01:00:00"
"189","28.7","81","0","13.9192","100.605","2026-04-11 04:00:00"
"190","29.3","83","0","13.9192","100.605","2026-04-11 07:00:00"
"191","34.1","43","0","13.9192","100.605","2026-04-11 10:00:00"
"192","37.6","25","0","13.9192","100.605","2026-04-11 13:00:00"
"193","37.3","36","0","13.9192","100.605","2026-04-11 16:00:00"
"194","33.8","44","0","13.9192","100.605","2026-04-11 19:00:00"
"195","29.9","76","0","13.9192","100.605","2026-04-11 22:00:00"
"196","29.5","77","0","13.9192","100.605","2026-04-12 01:00:00"
"197","29","81","0","13.9192","100.605","2026-04-12 04:00:00"
"198","28.9","82","0","13.9192","100.605","2026-04-12 07:00:00"
"199","34.3","43","0","13.9192","100.605","2026-04-12 10:00:00"
"200","37.5","31","0","13.9192","100.605","2026-04-12 13:00:00"
"201","37.4","34","0","13.9192","100.605","2026-04-12 16:00:00"
"202","33","40","0","13.9192","100.605","2026-04-12 19:00:00"
"203","31.1","61","0","13.9192","100.605","2026-04-12 22:00:00"
"204","29.7","67","0","13.9192","100.605","2026-04-13 01:00:00"
